name,price,mrp,discount,link,affiliate_link,image,category,breadcrumb,category_level,parent_category
Amazon Brand - Presto! Sports Shoe Cleaner With Brush 150 ml | Removes Tough Stains | No Water Required | Ready To Use,149.0,399.0,63%,https://www.amazon.in/Amazon-Brand-Cleaner-Removes-Required/dp/B0C865HQXP/ref=zg_bs_g_1983320031_d_sccl_14/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0C865HQXP?&linkCode=ll1&tag=902300-21&linkId=4f8ee57d9e7f25a99d857dce&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41PTIDBM-tL._SX300_SY300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
"Amazon Brand - Presto! Sports Shoe Cleaner With Brush | 300 ml | 150 ml x 2 Packs | Cleans All Non-Leather Shoes | Sneakers, Rubber Shoe, Canvas Shoe Cleaner | Foam Spray | Removes Tough Stains",260.0,798.0,67%,https://www.amazon.in/Amazon-Brand-Cleaner-Removes-Required/dp/B0C8627BSG/ref=zg_bs_g_1983320031_d_sccl_22/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0C8627BSG?&linkCode=ll1&tag=902300-21&linkId=030120811882d0286abda18d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51UgsGG9hyL._SX300_SY300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
"Cherry Blossom Wax Shoe Polish, Black - 40gm | Protects Against Dirt & Dust",84.0,297.0,N/A,https://www.amazon.in/Cherry-Blossom-Wax-Polish-Black/dp/B00IP958SM/ref=zg_bs_g_1983320031_d_sccl_25/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B00IP958SM?&linkCode=ll1&tag=902300-21&linkId=bb851ea736570f0eec87955d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41PUA28uNhL._SX300_SY300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
"QIQI Height Increase Insoles, 4-Layer Heel Orthotic Insoles Adjustable Comfortable & Breathable Elevator Lift Kit Up To 2cm To 9cm, Men Women Height Booster Insoles -1 Pair",299.0,599.0,50%,https://www.amazon.in/QIQI-Increase-Adjustable-Comfortable-Breathable/dp/B0CR9YWHZ6/ref=zg_bs_g_1983320031_d_sccl_27/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0CR9YWHZ6?&linkCode=ll1&tag=902300-21&linkId=3dfc6536fe8c21dcd06b6644&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51kTMJEai9L._SY300_SX300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
Cute Critters 6pcs Shoe Insole Reusable Soft Shoe Inserts Heel Cushion Pads Self-Adhesive Foot Care Protector Grips Liners Loose Shoes -Heel Pain Relief Bunion Callus Blisters for Men & Women-3 Pairs,251.0,999.0,75%,https://www.amazon.in/Cute-Critters-Reusable-Self-Adhesive-Protector/dp/B0924FLJDZ/ref=zg_bs_g_1983320031_d_sccl_28/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0924FLJDZ?&linkCode=ll1&tag=902300-21&linkId=eb4d3c3d19164228c896b615&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41oJNOFJdJL._SX300_SY300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
"KIWI Instant Liquid Glossy Finish Shoe Polish (75 Ml, Neutral) | Nourishment, Protection, And Shine For All Leather",115.0,349.0,N/A,https://www.amazon.in/Kiwi-Liquid-Shoe-Polish-Neutral/dp/B017NHZ9V2/ref=zg_bs_g_1983320031_d_sccl_30/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B017NHZ9V2?&linkCode=ll1&tag=902300-21&linkId=ff906336ad38a4f541e0b822&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/311SAlj4y9L._SX300_SY300_QL70_ML2_.jpg,"Handbags, Purses & Clutches","Handbags, Purses & Clutches",1,
"FOVERA Gel Insole for Shoes Men | Dual Gel Technology for All Day Comfort | Trimmable Sole for Walking, Running, Sports, Formal and Safety Shoes (Male, Red, Pack of 1 Pair)",355.0,1299.0,73%,https://www.amazon.in/FOVERA-Technology-Comfort-Trimmable-Walking/dp/B0DBVHPHTW/ref=zg_bs_g_1983320031_d_sccl_6/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0DBVHPHTW?&linkCode=ll1&tag=902300-21&linkId=49a203b784421adb8ac7e274&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41K0hkoGMlL._SX300_SY300_QL70_ML2_.jpg,Shoe Care & Accessories,Shoe Care & Accessories,1,
"Kiwi Express Shine Sponge - Black, 1 Pc",89.0,92.0,3%,https://www.amazon.in/Kiwi-Express-Shine-Sponge-Black/dp/B00HN6J6N6/ref=zg_bs_g_1983320031_d_sccl_13/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B00HN6J6N6?&linkCode=ll1&tag=902300-21&linkId=f2fd855470ad94ff5ab7fc07&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/41RyWmRdQiL._SX300_SY300_QL70_ML2_.jpg,Shoe Care & Accessories,Shoe Care & Accessories,1,
"RENESMEE 1 Pair Height Increase Insoles, 4-Layer Heel Orthotic Insoles Adjustable Comfortable & Breathable Elevator Lift Kit Up To 2cm To 9cm, Men Women Height Booster Insoles",299.0,999.0,70%,https://www.amazon.in/RENESMEE-Increase-Adjustable-Comfortable-Breathable/dp/B0CJYJSTXW/ref=zg_bs_g_1983320031_d_sccl_23/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0CJYJSTXW?&linkCode=ll1&tag=902300-21&linkId=269bd7be9ab1e4fed155bafc&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/51meNEL4OEL._SX300_SY300_QL70_ML2_.jpg,Shoe Care & Accessories,Shoe Care & Accessories,1,
Caprese GRACIE BAGUETTE MEDIUM CREAM,740.0,3499.0,N/A,https://www.amazon.in/Caprese-GRACIE-BAGUETTE-MEDIUM-CREAM/dp/B0CYPLPTHV/ref=zg_bs_g_1983348031_d_sccl_10/258-7911119-3650562?psc=1,https://www.amazon.in/dp/B0CYPLPTHV?&linkCode=ll1&tag=902300-21&linkId=2cab4655c25596795923168d&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/31a9kHAMJcL._SY395_SX395_.jpg,Baguettes,"Handbags, Purses & Clutches > Baguettes",2,"Handbags, Purses & Clutches"
